date,ARDA,BRUC,CAMP,CORR,GOUN,KOND,MEAR,MTMA,NOON,REDB,BOKA,BROW,CASU,COOM,COYR,DULB,DUMB,FLAG,GUND,KWOB,LITT,MART,MIRI,MURA,NONA,PARK,QUEE,TAAN,TAAR,TOOL,WAGI,WALB,WARG,WEST,WHIN,WHIW,YEAL
12/05/1991,35.44966443,NA,80.36095387,75.128,55.22682743,59.58612051,36.38461538,64.17926045,81.87412587,67.55851064,95.85825243,54.1961817,102.5691318,59.82226981,29.00093686,112.1465969,21.48267,87.08237624,60.4460552,140.6327543,118.3395683,118.2534175,134.8096677,129.8353414,146.1176471,28.41604907,45.72473554,141.7271724,104.1764576,37.5137837,138.9571695,98.01359703,64.26043738,151.2890026,154.5673447,136.7215686,22.87206021
13/06/1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.88724974,37.97583082,57.81526104,NA,NA,26.60522758,NA,NA,NA,NA,NA,NA,26.94629156,NA,NA,NA
29/06/1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15/07/1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.62080316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/09/1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.35048232,NA,NA,32.0104712,NA,NA,NA,NA,18.13956835,16.83596215,21.27190332,36.5957162,42.76470588,14.14205416,18.73981544,NA,41.90055006,29.82126628,34.7150838,28.87021014,NA,15.01023018,17.12589335,NA,13.24129821
17/09/1991,NA,27.36206897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/10/1991,NA,NA,91.21919788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/11/1991,42.31543624,31.55172414,78.76936047,83.392,92.93900602,85.28435425,30.48466258,91.56028939,99.23076923,83.88829787,28.38446602,22.14944042,26.25723473,17.88543897,18.5588015,38.04712042,21.4077226,54.63762376,19.05854474,116.028536,22.24172662,22.06729758,26.0694864,74.01740295,141.8823529,16.46857435,26.26603646,121.6082759,95.45742574,41.21932748,103.4506518,33.67737948,19.3499006,16.64705882,57.08026388,110.4280112,17.68673565
6/12/1991,41.73154362,34.25862069,83.43261472,85.104,100.7876506,91.05380183,37.26666667,119.9991961,104.1748252,108.9042553,NA,NA,NA,NA,NA,51.87434555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/12/1991,47.59060403,35.27586207,NA,NA,NA,NA,NA,153.1567524,117.2517483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
